movieId,title,genres,rating,year
311,Theodora Goes Wild,"['Comedy', 'Romance']",7.4,1936
312,Three Smart Girls,"['Comedy', 'Musical', 'Romance']",6.8,1936
313,The Trail of the Lonesome Pine,"['Drama', 'Romance']",6.9,1936
314,Tsirk,"['Comedy', 'Musical']",6.9,1936
315,A Day in the Country,"['Short', 'Drama', 'Romance']",7.8,1936
316,The Awful Truth,"['Comedy', 'Romance']",8.0,1937
317,Camille,"['Drama', 'Romance']",7.5,1936
318,Captains Courageous,"['Adventure', 'Drama', 'Family']",8.0,1937
319,A Damsel in Distress,"['Comedy', 'Musical', 'Romance']",7.0,1937
320,Daughter of Shanghai,"['Crime', 'Drama', 'Romance']",6.4,1937
321,Elephant Boy,"['Adventure', 'Drama', 'Family']",6.6,1937
322,The Edge of the World,"['Drama', 'History', 'Romance']",7.4,1937
323,La Grande Illusion,"['Drama', 'War']",8.2,1937
324,The Good Earth,"['Drama', 'Romance']",7.9,1937
325,Harvest,['Drama'],7.5,1937
326,The Hurricane,"['Action', 'Drama', 'Romance']",7.3,1937
327,In Old Chicago,"['Action', 'Drama', 'Musical']",6.9,1937
328,King Solomon's Mines,"['Action', 'Adventure', 'Drama']",6.5,1937
329,Kid Galahad,"['Crime', 'Drama', 'Romance']",7.4,1937
330,Children in the Wind,['Drama'],7.3,1937
331,Lenin in October,"['Biography', 'Drama', 'History']",6.6,1937
332,The Life of Emile Zola,"['Biography', 'Drama']",7.3,1937
333,Lost Horizon,"['Adventure', 'Drama', 'Fantasy']",7.8,1937
334,Make Way for Tomorrow,"['Drama', 'Romance']",8.3,1937
335,The Man Who Could Work Miracles,"['Comedy', 'Fantasy']",7.1,1936
336,Marked Woman,"['Crime', 'Film-Noir', 'Thriller']",7.4,1937
337,Night Must Fall,"['Drama', 'Mystery', 'Thriller']",7.3,1937
338,One Hundred Men and a Girl,"['Comedy', 'Music']",6.9,1937
339,The Pearls of the Crown,"['Comedy', 'History']",7.1,1937
340,The Prince and the Pauper,"['Adventure', 'Drama', 'Family']",7.3,1937
341,The Prisoner of Zenda,"['Adventure', 'Drama', 'Romance']",7.8,1937
342,Pèpè le Moko,"['Crime', 'Drama', 'Romance']",7.8,1937
343,Shall We Dance,"['Comedy', 'Musical', 'Romance']",7.6,1937
344,Snow White and the Seven Dwarfs,"['Animation', 'Family', 'Fantasy']",7.7,1937
345,Stage Door,"['Comedy', 'Drama']",7.9,1937
346,The Spanish Earth,"['Documentary', 'War']",6.8,1937
347,A Star Is Born,['Drama'],7.7,1937
348,They Won't Forget,"['Drama', 'Film-Noir', 'Mystery']",7.4,1937
349,This Is My Affair,"['Crime', 'Drama', 'History']",6.8,1937
350,Dance Program,['Drama'],7.4,1937
351,Waikiki Wedding,"['Comedy', 'Musical', 'Romance']",6.1,1937
352,Der zerbrochene Krug,['Comedy'],6.7,1937
353,To New Shores,['Drama'],6.9,1937
354,The Adventures of Robin Hood,"['Action', 'Adventure', 'Romance']",8.0,1938
355,Alexander Nevsky,"['Action', 'Drama', 'History']",7.7,1938
356,The Adventures of Tom Sawyer,"['Family', 'Adventure']",7.2,1938
357,Algiers,"['Drama', 'Mystery', 'Romance']",6.9,1938
358,Angels with Dirty Faces,"['Crime', 'Drama', 'Film-Noir']",8.0,1938
359,Alexander's Ragtime Band,"['Drama', 'Musical', 'Romance']",7.1,1938
360,The Big Broadcast of 1938,"['Animation', 'Comedy', 'Musical']",6.5,1938
361,Bringing Up Baby,"['Comedy', 'Romance']",8.0,1938
362,Boys Town,"['Biography', 'Drama']",7.3,1938
363,La Bète Humaine,"['Crime', 'Drama', 'Film-Noir']",7.8,1938
364,Carefree,"['Comedy', 'Musical', 'Romance']",7.2,1938
365,The Citadel,['Drama'],7.3,1938
366,The Cowboy and the Lady,"['Comedy', 'Drama', 'Romance']",6.7,1938
367,The Childhood of Maxim Gorky,"['Biography', 'Drama']",7.5,1938
